Date,OPP,Result,CAR,YDS,AVG,TD,LNG,REC,TGTS,YDS2,AVG2,TD2,LNG2,FUM,LST,FF,KB
2023-10-15,1,0,12.0,97.0,8.1,1.0,63.0,2.0,2.0,16.0,8.0,0.0,9.0,0,0,0.0,0.0
2023-10-29,1,1,22.0,101.0,4.6,0.0,14.0,4.0,4.0,21.0,5.3,0.0,8.0,0,0,0.0,0.0
2023-11-02,0,0,17.0,75.0,4.4,1.0,15.0,3.0,4.0,27.0,9.0,0.0,23.0,0,0,0.0,0.0
2023-11-12,0,0,11.0,24.0,2.2,0.0,8.0,1.0,1.0,-4.0,-4.0,0.0,-4.0,0,0,0.0,0.0
2023-11-19,0,0,10.0,38.0,3.8,0.0,16.0,1.0,2.0,6.0,6.0,0.0,6.0,0,0,0.0,0.0
2023-11-26,1,1,18.0,76.0,4.2,2.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2023-12-03,1,0,21.0,102.0,4.9,2.0,22.0,1.0,2.0,18.0,18.0,0.0,18.0,0,0,0.0,0.0
2023-12-11,0,1,17.0,34.0,2.0,2.0,6.0,1.0,2.0,17.0,17.0,0.0,17.0,0,0,0.0,0.0
2023-12-17,1,0,16.0,9.0,0.6,0.0,6.0,4.0,4.0,1.0,0.3,0.0,3.0,0,0,0.0,0.0
2023-12-24,1,0,19.0,88.0,4.6,1.0,12.0,1.0,1.0,11.0,11.0,0.0,11.0,0,0,0.0,0.0
2023-12-31,0,0,12.0,42.0,3.5,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2024-09-05,0,0,13.0,46.0,3.5,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2024-09-15,1,0,18.0,84.0,4.7,1.0,29.0,1.0,1.0,12.0,12.0,0.0,12.0,0,0,0.0,0.0
2024-09-22,0,1,25.0,151.0,6.0,2.0,29.0,1.0,1.0,23.0,23.0,0.0,23.0,0,0,0.0,0.0
2024-09-29,1,1,24.0,199.0,8.3,1.0,87.0,3.0,3.0,10.0,3.3,1.0,5.0,1,0,0.0,0.0
2024-10-06,0,1,15.0,92.0,6.1,1.0,51.0,1.0,1.0,4.0,4.0,0.0,4.0,0,0,0.0,0.0
